id,name,vlsr,Tb
193,3C286,133.652,0.373253
194,3C286,133.491,0.192182
195,3C286,133.33,-0.632151
196,3C286,133.169,-0.217645
197,3C286,133.008,-0.231199
198,3C286,132.847,-0.130412
199,3C286,132.686,-0.733992
200,3C286,132.525,-0.413927
201,3C286,132.364,0.0833135
202,3C286,132.203,0.018397
203,3C286,132.042,0.388575
204,3C286,131.881,-0.579027
205,3C286,131.72,-0.0922671
206,3C286,131.559,-0.0608608
207,3C286,131.398,-0.511041
208,3C286,131.237,0.0723247
209,3C286,131.076,-0.199324
210,3C286,130.915,0.53266
211,3C286,130.754,0.0237692
212,3C286,130.593,-0.600714
213,3C286,130.432,0.631365
214,3C286,130.271,0.152855
215,3C286,130.11,0.114788
216,3C286,129.949,0.0107507
217,3C286,129.788,-0.35295
218,3C286,129.627,0.566151
219,3C286,129.466,-0.366188
220,3C286,129.305,0.262029
221,3C286,129.144,0.314129
222,3C286,128.983,0.149602
223,3C286,128.822,-0.533886
224,3C286,128.66,0.433458
225,3C286,128.499,-0.0497965
226,3C286,128.338,0.496253
227,3C286,128.177,-0.24503
228,3C286,128.016,-0.609758
229,3C286,127.855,0.155198
230,3C286,127.694,0.327245
231,3C286,127.533,0.509886
232,3C286,127.372,-0.495099
233,3C286,127.211,0.925295
234,3C286,127.05,0.483912
235,3C286,126.889,-0.339613
236,3C286,126.728,0.341662
237,3C286,126.567,-0.965908
238,3C286,126.406,0.0599315
239,3C286,126.245,0.152474
240,3C286,126.084,-0.344557
241,3C286,125.923,-0.276957
242,3C286,125.762,-0.343009
243,3C286,125.601,0.00812827
244,3C286,125.44,-0.711435
245,3C286,125.279,0.611594
246,3C286,125.118,-0.257762
247,3C286,124.957,0.194975
248,3C286,124.796,-0.364128
249,3C286,124.635,-0.41706
250,3C286,124.474,0.575158
251,3C286,124.313,-0.395185
252,3C286,124.152,-0.400118
253,3C286,123.991,0.094017
254,3C286,123.83,-0.450193
255,3C286,123.669,-0.0373449
256,3C286,123.508,-0.196585
257,3C286,123.347,0.151861
258,3C286,123.186,-0.218516
259,3C286,123.025,0.0831593
260,3C286,122.864,0.110606
261,3C286,122.702,-0.10913
262,3C286,122.541,-0.340791
263,3C286,122.38,0.2679
264,3C286,122.219,-0.449318
265,3C286,122.058,-0.195719
266,3C286,121.897,0.393884
267,3C286,121.736,0.0422355
268,3C286,121.575,0.0275332
269,3C286,121.414,0.06239
270,3C286,121.253,0.180921
271,3C286,121.092,-0.211686
272,3C286,120.931,-1.33906
273,3C286,120.77,0.218064
274,3C286,120.609,-0.585465
275,3C286,120.448,0.0828412
276,3C286,120.287,-0.251925
277,3C286,120.126,-0.249222
278,3C286,119.965,0.0308593
279,3C286,119.804,0.188761
280,3C286,119.643,0.504065
