 Tpeak    e      tau      e      VLSR   e    DelV    e     Tspin     e     Tkmax      NHI  CNM   Frac   e    Name     
   K      K                      km/s km/s   km/s   km/s     K       K       K   10+20cm-2                            
====================================================================================================================
  6.81  -12.0    0.116   0.002   -7.7  0.0    3.07  0.06    62.07   5.14     206      0.43   1  -18.0 -18.0  3C78     
  6.81  -12.0    0.153   0.002    4.2  0.0    1.92  0.05    47.89   4.61      80      0.27   0  -18.0 -18.0  3C78     
 28.24  -12.0    1.108   0.004    6.8  0.0    2.24  0.01    42.17   7.17     109      2.04   2  -18.0 -18.0  3C78     
 19.04   0.47    0.011   -10.0    8.1  0.0   11.47  0.13  1730.00  -12.0    2873      4.25   9   0.44  0.29  3C78     
  4.29  -12.0    0.082   0.001   10.7  0.1    4.26  0.14    54.38   6.31     396      0.37   4  -18.0 -18.0  3C78     
  2.50  -12.0    0.342   0.006   -6.4  0.0    2.06  0.04     8.64   4.69      92      0.12   0  -18.0 -18.0  3C79     
  1.55  -12.0    0.082   0.007   -3.3  0.0    1.18  0.12    19.55   8.10      30      0.04   4  -18.0 -18.0  3C79     
  8.08   2.21    0.011   -10.0   -3.0  1.6   15.40  1.07   730.00  -12.0    5182      2.46   9   0.50  0.29  3C79     
  6.93  -12.0    0.139   0.005    1.4  0.0    2.85  0.14    53.25   8.33     177      0.41   1  -18.0 -18.0  3C79     
 21.34  -12.0    0.148   0.004    2.2  0.2   14.09  0.27   155.61  18.25    4339      6.30   2  -18.0 -18.0  3C79     
  1.76  -12.0    0.048   0.006    9.8  0.1    1.14  0.17    37.78   6.82      28      0.04   3  -18.0 -18.0  3C79     
  1.72   0.17    0.000   -10.0  -19.5  0.3    6.08  0.76  5170.00  -12.0     808      0.20   9   0.50  0.29  3C93.1   
  4.26   0.09    0.010   -10.0  -13.1  0.6   43.14  1.07   410.00  -12.0   40687      3.58   9   0.50  0.29  3C93.1   
 19.91  -12.0    0.860   0.080    6.5  0.2    2.99  0.24    34.50  12.95     195      1.73   1  -18.0 -18.0  3C93.1   
 32.88   1.75    0.044   -10.0    7.2  0.0    7.88  0.26   740.00  -12.0    1357      5.04   9   0.38  0.28  3C93.1   
 20.40  -12.0    1.243   0.117    8.8  0.1    2.54  0.13    28.67  11.27     141      1.77   0  -18.0 -18.0  3C93.1   
  1.65  -12.0    0.081   0.004   -1.2  0.1    3.23  0.18    21.28   6.32     228      0.11   3  -18.0 -18.0  3C98-1   
 16.65   0.31    0.022   -10.0    6.0  0.1   13.51  0.23   770.00  -12.0    3992      4.38   9   0.57  0.29  3C98-1   
  7.78  -12.0    0.209   0.011    9.4  0.0    1.47  0.09    41.24  16.54      47      0.25   0  -18.0 -18.0  3C98-1   
 35.37  -12.0    0.368   0.008    9.7  0.0    6.07  0.08   114.85   5.80     804      5.00   1  -18.0 -18.0  3C98-1   
  5.94  -12.0    0.028   0.003   22.8  0.3    5.40  0.65   215.87   6.91     638      0.63   2  -18.0 -18.0  3C98-1   
  5.05  -12.0    0.090   0.004   -1.5  0.1    3.16  0.14    58.82   5.99     218      0.33   3  -18.0 -18.0  3C98-2   
 20.18   0.36    0.011   -10.0    7.3  0.1   13.21  0.21  1860.00  -12.0    3813      5.19   9   0.53  0.29  3C98-2   
  4.47  -12.0    0.203   0.013    9.5  0.0    1.39  0.10    24.40  15.72      41      0.13   0  -18.0 -18.0  3C98-2   
 36.44  -12.0    0.452   0.011    9.6  0.0    4.62  0.06   100.23   8.51     466      4.08   1  -18.0 -18.0  3C98-2   
  5.74  -12.0    0.035   0.003   22.5  0.2    4.56  0.42   165.93   6.56     453      0.52   2  -18.0 -18.0  3C98-2   
  1.48  -12.0    0.092   0.004   -1.0  0.1    4.87  0.22    16.82   5.14     519      0.15   3  -18.0 -18.0  3C98     
 17.00   0.23    0.021   -10.0    6.3  0.1   14.86  0.21   800.00  -12.0    4824      4.92   9   0.53  0.29  3C98     
  7.09  -12.0    0.297   0.017    9.5  0.0    1.35  0.09    27.59  20.46      39      0.21   1  -18.0 -18.0  3C98     
 38.72  -12.0    0.508   0.012    9.5  0.0    5.21  0.07    97.27   6.30     594      5.02   0  -18.0 -18.0  3C98     
  5.33  -12.0    0.041   0.003   23.0  0.2    6.82  0.58   134.11   3.95    1016      0.72   2  -18.0 -18.0  3C98     
  4.54  -12.0    0.057   0.004   -2.0  0.2    4.37  0.44    81.35   5.69     416      0.40   3  -18.0 -18.0  3C105    
  6.85   0.40    0.019   -10.0    6.5  0.2   24.41  0.69   370.00  -12.0   13021      3.26   9   0.49  0.29  3C105    
 25.63  -12.0    2.103   0.054    8.3  0.0    1.81  0.04    29.20  11.94      71      2.17   2  -18.0 -18.0  3C105    
 24.86  -12.0    0.169   0.012    8.4  0.1    9.47  0.44   159.93   4.41    1960      4.98   1  -18.0 -18.0  3C105    
 33.06  -12.0    2.883   0.075   10.5  0.0    1.97  0.04    35.02   9.58      84      3.87   0  -18.0 -18.0  3C105    
 10.31   1.04    0.041   -10.0    0.8  0.2    4.53  0.53   250.00  -12.0     448      0.91   9   0.50  0.29  3C109    
  8.52   1.05    0.003   -10.0    2.4  0.6   26.59  1.78  3020.00  -12.0   15456      4.40   9   0.49  0.29  3C109    
 22.33  -12.0    0.381   0.040    5.0  0.2    3.48  0.26    70.49   4.42     265      1.82   1  -18.0 -18.0  3C109    
 62.73  -12.0    1.979   0.037    9.3  0.1    4.35  0.18    72.79   2.64     412     12.19   0  -18.0 -18.0  3C109    
 27.80  -12.0    0.344   0.028   13.5  0.1    2.35  0.16    95.41   3.47     120      1.50   2  -18.0 -18.0  3C109    
  2.15   0.28    0.007   -10.0  -19.1  1.1   17.07  2.91   290.00  -12.0    6371      0.73   9   0.50  0.29  3C120    
  5.99   1.35    0.001   -10.0    5.2  2.2   20.35  4.53  4130.00  -12.0    9050      2.27   9   0.50  0.29  3C120    
 19.32  -12.0    0.736   0.010    6.2  0.0    1.33  0.02    37.08   6.86      38      0.71   0  -18.0 -18.0  3C120    
 34.34  -12.0    1.666   0.007    7.6  0.0    4.48  0.01    42.34   9.96     438      6.15   1  -18.0 -18.0  3C120    
 41.30   5.57    0.103   -10.0    8.1  0.1    6.34  0.73   400.00  -12.0     877      5.04   9   0.18  0.23  3C120    
 20.65  -12.0    0.634   0.008   10.2  0.0    1.91  0.02    43.96   3.95      79      1.04   2  -18.0 -18.0  3C120    
  0.57  -12.0    0.032   0.002  -72.9  0.1    4.28  0.24    17.79  10.26     400      0.05   4  -18.0 -18.0  3C123    
  3.82   0.18    0.003   -10.0  -60.7  0.5   25.36  1.27  1270.00  -12.0   14054      1.89   9   0.50  0.29  3C123    
  0.18  -12.0    0.008   0.001  -57.8  0.5    5.62  1.09    22.15  40.62     691      0.02   3  -18.0 -18.0  3C123    
  2.51  -12.0    0.063   0.002  -19.6  0.0    3.14  0.11    40.93   6.20     215      0.16   2  -18.0 -18.0  3C123    
 10.11   0.18    0.002   -10.0   -7.2  0.3   37.54  0.53  5170.00  -12.0   30812      7.40   9   0.49  0.29  3C123    
 13.50  -12.0    1.606   0.026    4.4  0.0    4.79  0.02    16.88   7.44     501      2.53   0  -18.0 -18.0  3C123    
 80.96  -12.0    0.596   0.026    4.7  0.0    2.32  0.08   180.36 115.21     117      4.86   1  -18.0 -18.0  3C123    
 88.19   5.96    0.304   -10.0    4.9  0.1    6.09  0.11   290.00  -12.0     811     10.47   9   0.00  0.00  3C123    
  0.00  -12.0    0.007   0.002   20.0  0.5    3.88  1.09     0.00   0.00     328      0.00   5  -18.0 -18.0  3C123    
 10.77   0.27    0.135   -10.0  -40.1  0.1    5.74  0.19    80.00  -12.0     720      1.20   9   0.50  0.29  3C131    
  9.21   0.25    0.034   -10.0  -19.1  1.1   43.93  1.10   270.00  -12.0   42178      7.89   9   0.49  0.29  3C131    
 21.36  -12.0    0.321   0.006   -2.3  0.1    6.95  0.21    77.79   5.43    1057      3.38   1  -18.0 -18.0  3C131    
 25.06   1.64    0.040   -10.0    1.5  0.1   16.80  0.92   620.00  -12.0    6168      8.18   9   0.44  0.29  3C131    
 39.30  -12.0    2.152   0.034    5.3  0.0    4.24  0.04    44.47   8.06     392      7.90   0  -18.0 -18.0  3C131    
  5.52   0.15    0.005   -10.0  -16.4  1.3   45.87  2.18  1100.00  -12.0   45997      4.94   9   0.50  0.29  3C132    
  9.04  -12.0    0.351   0.007    1.8  0.1    5.43  0.12    30.52  11.08     643      1.13   1  -18.0 -18.0  3C132    
 39.75   0.97    0.020   -10.0    5.7  0.1   14.50  0.43  2000.00  -12.0    4595     11.22   9   0.49  0.29  3C132    
 43.75  -12.0    1.542   0.028    8.1  0.0    2.42  0.03    55.66  14.67     128      4.05   0  -18.0 -18.0  3C132    
 19.68  -12.0    0.260   0.006   13.0  0.1    5.68  0.23    85.86   9.64     705      2.47   2  -18.0 -18.0  3C132    
 12.83  -12.0    0.060   0.008  -29.5  0.4    8.45  0.63   219.27   5.45    1559      2.17   4  -18.0 -18.0  3C133    
  1.16  -12.0    0.064   0.009  -27.6  0.2    2.84  0.46    18.79   6.96     176      0.07   3  -18.0 -18.0  3C133    
  9.06   0.17    0.020   -10.0  -14.7  0.7   46.06  0.82   460.00  -12.0   46378      8.13   9   0.50  0.29  3C133    
 15.35  -12.0    0.262   0.006   -0.2  0.2    6.17  0.31    66.60  11.51     831      2.10   1  -18.0 -18.0  3C133    
 25.98  -12.0    0.891   0.021    3.7  0.0    2.77  0.06    44.04  17.06     167      2.12   2  -18.0 -18.0  3C133    
 45.62   1.62    0.015   -10.0    4.3  0.1   12.41  0.39  3000.00  -12.0    3368     11.02   9   0.45  0.29  3C133    
